ID;nom;adresse;commune;etat;type;geo;nbPlacesDispo;nbVelosDispo;etatConnexion;localisation;datemiseajour
29;ST SEBASTIEN;40 RUE SAINT SEBASTIEN;LILLE;EN SERVICE;AVEC TPE;50.647236,3.059376;2;18;CONNECTED;50.647236,3.059376;2022-06-20T22:30:12+02:00
140;RUE CORNEILLE;RUE CORNEILLE;VILLENEUVE D'ASCQ;EN SERVICE;AVEC TPE;50.623795,3.144815;0;0;CONNECTED;50.623795,3.144815;2019-10-17T16:37:06+02:00
35;LECLERC;24 PLACE MARECHAL LECLERC;LILLE;EN SERVICE;AVEC TPE;50.62899,3.043307;1;17;CONNECTED;50.62899,3.043307;2022-06-20T22:30:12+02:00
125;FORT DE MONS;12, RUE DE NORMANDIE;MONS EN BAROEUL;EN SERVICE;SANS TPE;50.643883,3.118579;19;1;CONNECTED;50.643883,3.118579;2022-06-20T22:30:13+02:00
98;PLACE DU MARCHE;ANGLE DE LA RUE GAMBETTA;LA MADELEINE;EN SERVICE;AVEC TPE;50.6549,3.068756;16;8;CONNECTED;50.6549,3.068756;2022-06-20T22:30:13+02:00
124;CLEMENCEAU HIPPODROME;916-920 AV DE LA RÉPUBLIQUE;MARCQ EN BAROEUL;EN SERVICE;AVEC TPE;50.6618,3.096235;16;2;CONNECTED;50.6618,3.096235;2022-06-20T22:30:13+02:00
133;BOULEVARD DE VALMY;FACE AU 233 BOULEVARD DE VALMY;VILLENEUVE D'ASCQ;EN SERVICE;AVEC TPE;50.61915,3.126501;18;10;CONNECTED;50.61915,3.126501;2022-06-20T22:30:13+02:00
83;EURATECHNOLOGIES;AVENUE DE BRETAGNE;LILLE;EN SERVICE;AVEC TPE;50.63378,3.02059;14;10;CONNECTED;50.63378,3.02059;2022-06-20T22:30:13+02:00
42;PLACE PHILIPPE LEBON;15 PLACE PHILLIPPE LEBON;LILLE;EN SERVICE;AVEC TPE;50.62789,3.06209;2;16;CONNECTED;50.62789,3.06209;2022-06-20T22:30:12+02:00
137;HERON PARC;40, RUE DE LA VAGUE;VILLENEUVE D'ASCQ;EN SERVICE;AVEC TPE;50.615868,3.126089;18;12;CONNECTED;50.615868,3.126089;2022-06-20T22:30:13+02:00
108;GENERAL DE GAULLE;108 RUE DU GENERAL DE GAULLE;MONS EN BAROEUL;EN SERVICE;AVEC TPE;50.645267,3.100516;16;4;CONNECTED;50.645267,3.100516;2022-06-20T22:30:13+02:00
119;LOMME-LAMBERSART;390, AVENUE DE DUNKERQUE;LAMBERSART;EN SERVICE;AVEC TPE;50.640957,3.018803;15;3;CONNECTED;50.640957,3.018803;2022-06-20T22:30:13+02:00
129;FLERS CHATEAU;RUE DE LA CHEVALERIE;VILLENEUVE D'ASCQ;EN SERVICE;AVEC TPE;50.63608,3.130853;0;0;CONNECTED;50.63608,3.130853;2019-10-21T11:46:05+02:00
110;RUE BONTE-POLLET;11 RUE BONTE POLLET;LILLE;EN SERVICE;AVEC TPE;50.62487,3.034234;1;15;CONNECTED;50.62487,3.034234;2022-06-20T22:30:13+02:00
131;V.ASCQ HOTEL DE VILLE;RUE VERMEER;VILLENEUVE D'ASCQ;EN SERVICE;AVEC TPE;50.619602,3.13197;17;8;CONNECTED;50.619602,3.13197;2022-06-20T22:30:13+02:00
115;DE GAULLE;85, RUE DU GÉNÉRAL DE GAULLE;LA MADELEINE;EN SERVICE;AVEC TPE;50.651497,3.072316;2;16;CONNECTED;50.651497,3.072316;2022-06-20T22:30:13+02:00
233;RUE DE TOURCOING;RUE DE TOURCOING (SUR LA PARKING GRDF);ROUBAIX;HORS SERVICE;AVEC TPE;50.702026,3.172654;16;0;DISCONNECTED;50.702026,3.172654;2019-07-10T19:47:05+02:00
89;BOULEVARD DE METZ;40 BOULEVARD DE METZ;LILLE;HORS SERVICE;AVEC TPE;50.619312,3.041299;0;0;DISCONNECTED;50.619312,3.041299;2019-07-10T19:39:06+02:00
122;PISCINE DE MARCQ;298-300 AVENUE DE LATTRE DE TASSIGNY;MARCQ EN BAROEUL;EN SERVICE;SANS TPE;50.666033,3.087591;12;4;CONNECTED;50.666033,3.087591;2022-06-20T22:30:13+02:00
231;MOTTE BOSSUT;ROND POINT DE L'EUROPE;ROUBAIX;HORS SERVICE;AVEC TPE;50.689762,3.177179;0;0;DISCONNECTED;50.689762,3.177179;2019-07-23T21:24:03+02:00
